Vehículo;Nombres personalizados;Fecha de Recepción;Valor;Unidades
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:41:17;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:42:17;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:43:17;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:45:19;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:47:24;1.55;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:48:24;5.55;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:49:24;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:50:24;21.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:51:23;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:52:24;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:53:24;4.05;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:54:24;1.5;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:55:24;12.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:56:24;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:57:24;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:58:24;6.95;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 20:59:24;1.65;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:00:24;4.95;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:01:24;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:02:24;10.25;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:03:24;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:04:23;11.5;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:05:24;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:06:24;11.6;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:07:24;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:08:24;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:09:24;4.05;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:10:24;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:11:24;1.7;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:12:24;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:13:24;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:14:24;1.25;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:15:24;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:16:24;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:17:24;1.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:18:24;1.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:19:24;9.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:24:46;14.75;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:25:46;2.1;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:26:46;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:27:46;6.95;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:28:46;6.25;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:29:46;13.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:30:46;8.7;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:31:46;1.5;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:32:46;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:33:46;1.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:34:46;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:37:28;1.65;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:38:28;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:39:28;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:40:28;6.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:41:28;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:42:28;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:43:28;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:44:28;40.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:45:28;27.1;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:46:28;21.75;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:47:28;9.5;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:48:28;2.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:49:28;1.55;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:50:28;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:51:28;11.05;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:52:28;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:53:27;1.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:54:28;1.6;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:55:28;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:56:28;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:57:28;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:58:28;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 21:59:28;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:00:28;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:01:28;1.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:02:28;5.9;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:03:28;1.5;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:04:28;1.45;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:10:35;1.4;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:11:35;1.2;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:12:34;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:17:32;4.3;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:18:32;3.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:19:32;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:21:40;1.95;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:22:40;4.8;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:23:40;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:27:54;1.7;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:28:54;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:30:54;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:34:41;1.55;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:35:41;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:36:41;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:40:07;18.95;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:41:07;2.15;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:42:07;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:43:07;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:45:16;1.7;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:46:16;1.35;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:47:16;1.25;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:48:16;1.6;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:49:16;0;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:52:06;1.7;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:53:06;3.6;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:54:06;5.85;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:55:06;6.65;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:56:06;9;L/hr
AMC-859 CAN BUS;Variacion de combustibe;7/12/2020 22:57:06;1.2;L/hr
